Sebbene le informazioni contenute nel presente documento siano state ottenute da fonti ritenute affidabili, DWS non ne garantisce l’accuratezza, la completezza o l’equità e non deve essere invocata come tale. DWS non si assume alcuna responsabilità per errori, inesattezze o omissioni relativamente alle informazioni qui contenute, e non ha alcun obbligo di aggiornare, modificare o correggere le informazioni che dovessero risultare inesatte. DWS DECLINA ESPRESSAMENTE OGNI RESPONSABILITÀ PER EVENTUALI PERDITE O DANNI DIRETTI, INDIRETTI O DI ALTRA NATURA, IVI INCLUSO L’EVENTUALE LUCRO CESSANTE SUBITO DALL’INVESTITORE O DA TERZI E DERIVANTE DALL’AVER FATTO AFFIDAMENTO SUL PRESENTE DOCUMENTO, O PER LA SUA AFFIDABILITÀ, ACCURATEZZA, COMPLETEZZA O TEMPESTIVITÀ. Il presente documento è stato redatto esclusivamente a scopo informativo e non costituisce un’offerta, raccomandazione o sollecitazione a concludere transazioni.;;;;;;;;;;
;;;;;;;;;;
;Name;ISIN;Country;Currency;Exchange;Type of Security;Rating;Primary Listing;Industry Classification;Weighting
139;MURATA MANUFACTURING LTD;JP3914400001;Giappone;JPY;Tokyo Stock Exchange;Azionari;-;TOPIX Index;Tecnologia dell'informazione;0,13%
140;SONY GROUP CORP;JP3435000009;Giappone;JPY;Tokyo Stock Exchange;Azionari;Ba1;TOPIX Index;Beni voluttuari;0,13%
141;BRITISH AMERICAN TOBACCO;GB0002875804;Regno Unito;GBP;London Stock Exchange;Azionari;A3;FTSE 100 Index;Beni di prima necessità;0,13%
142;ALTRIA GROUP INC;US02209S1033;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A3;S&P 500 Index;Beni di prima necessità;0,13%
143;BNP PARIBAS SA;FR0000131104;Francia;EUR;Euronext Paris;Azionari;Baa2;CAC 40 Index;Finanza;0,13%
144;VERTEX PHARMACEUTICALS INC;US92532F1003;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;-;NASDAQ Composite Index;Sanità;0,13%
145;STARBUCKS CORP;US8552441094;Stati Uniti d'America;USD;NASDAQ National Market System;Azionari;A3;NASDAQ Composite Index;Beni voluttuari;0,13%
146;CHUBB;CH0044328745;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;-;S&P 500 Index;Finanza;0,13%
147;DANAHER CORP;US2358511028;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;A2;S&P 500 Index;Sanità;0,13%
148;NEWMONT;US6516391066;Stati Uniti d'America;USD;New York Stock Exchange;Azionari;Baa2;S&P 500 Index;Materiali;0,12%
