Questo file è stato scaricato il 09 giu 2026;;;;;;
;;;;;;
Dati delle partecipazioni;;;;;;
Vanguard FTSE North America UCITS ETF (USD) Accumulating;;;;;;
Al 30 apr 2026;;;;;;
;;;;;;
Ticker;Nome delle partecipazioni;% del valore di mercato;Settore;Regione;Valore di mercato;Azioni
OXY;Occidental Petroleum Corp;0,065%;Energy;US;3.910.257,26 USD;64.547
BDX;Becton Dickinson & Co;0,065%;Health Care;US;3.905.444,16 USD;26.204
CBRE;CBRE Group Inc;0,0648%;Real Estate;US;3.893.246,21 USD;27.277
STT;State Street Corp;0,0646%;Financials;US;3.883.970,08 USD;25.412
RSG;Republic Services Inc;0,0645%;Utilities;US;3.879.984,90 USD;18.545
MSCI;MSCI Inc;0,0643%;Financials;US;3.863.090,12 USD;6532
PYPL;PayPal Holdings Inc;0,0643%;Industrials;US;3.862.936,02 USD;77.043
WCN;Waste Connections Inc;0,0642%;Utilities;CA;3.860.850,49 USD;23.485
NDAQ;Nasdaq Inc;0,0638%;Financials;US;3.834.760,93 USD;41.723
COIN;Coinbase Global Inc;0,0636%;Financials;US;3.825.438,21 USD;20.373
DDOG;Datadog Inc;0,0629%;Technology;US;3.781.955,90 USD;28.610
VTR;Ventas Inc;0,0628%;Real Estate;US;3.772.356,96 USD;42.936
GRMN;Garmin Ltd;0,0623%;Consumer Discretionary;US;3.745.753,10 USD;14.915
PEG;Public Service Enterprise Group Inc;0,0622%;Utilities;US;3.736.026,66 USD;45.751
ON;ON Semiconductor Corp;0,0617%;Technology;US;3.706.582,08 USD;36.768
RKLB;Rocket Lab Corp;0,0615%;Industrials;US;3.695.952,94 USD;44.794
AIG;American International Group Inc;0,0615%;Financials;US;3.694.521,60 USD;49.392
FANG;Diamondback Energy Inc;0,0615%;Energy;US;3.694.759,84 USD;17.968
ED;Consolidated Edison Inc;0,0614%;Utilities;US;3.692.325,82 USD;33.118
SLF;Sun Life Financial Inc;0,0612%;Financials;CA;3.676.218,96 USD;51.126
VMC;Vulcan Materials Co;0,0608%;Industrials;US;3.653.166,18 USD;12.107
DHI;DR Horton Inc;0,0606%;Consumer Discretionary;US;3.643.250,94 USD;23.679
KR;Kroger Co/The;0,0602%;Consumer Staples;US;3.618.737,34 USD;53.162
CVE;Cenovus Energy Inc;0,0601%;Energy;CA;3.614.585,26 USD;123.800
EME;EMCOR Group Inc;0,06%;Industrials;US;3.605.021,81 USD;4043
ALNY;Alnylam Pharmaceuticals Inc;0,0596%;Health Care;US;3.581.727,77 USD;11.573
ODFL;Old Dominion Freight Line Inc;0,0595%;Industrials;US;3.575.621,76 USD;16.832
TTWO;Take-Two Interactive Software Inc;0,0594%;Consumer Discretionary;US;3.568.509,44 USD;16.694
WEC;WEC Energy Group Inc;0,0586%;Utilities;US;3.523.693,38 USD;29.877
HIG;Hartford Financial Services Group Inc/The;0,0586%;Financials;US;3.521.078,97 USD;25.737
CCI;Crown Castle Inc;0,0586%;Real Estate;US;3.520.304,56 USD;39.652
HPE;Hewlett Packard Enterprise Co;0,0583%;Technology;US;3.504.588,78 USD;121.814
KDP;Keurig Dr Pepper Inc;0,0581%;Consumer Staples;US;3.494.484,00 USD;118.860
ROP;Roper Technologies Inc;0,0581%;Technology;US;3.492.394,83 USD;9843
XYZ;Block Inc;0,0575%;Industrials;US;3.458.233,46 USD;49.046
MLM;Martin Marietta Materials Inc;0,0566%;Industrials;US;3.403.027,79 USD;5497
IRM;Iron Mountain Inc;0,0563%;Real Estate;US;3.384.091,40 USD;26.860
NTR;Nutrien Ltd;0,0562%;Basic Materials;CA;3.380.070,16 USD;44.558
FFH;Fairfax Financial Holdings Ltd;0,0559%;Financials;CA;3.362.540,95 USD;1947
