;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;Amundi ETF;;;;;;
;;;;;;;
;TITOLI DETENUTI DAL FONDO;;;;;;
;;;;;;;
;Nome del fondo;Amundi Prime Japan UCITS ETF DR (D);;;;;
;Codice ISIN;LU1931974775;;;;;
;Metodologia di Replica;Physical;;;;;
;;;;;;;
;Attivi in gestione nel fondo al 05/06/2026;680.212,03 mln JPY;;;;;
;Valuta di riferimento;JPY;;;;;
;;;;;;;
;Si prega di notare che i dati relativi ai titoli detenuti a livello del fondo possono cambiare quotidianamente. Dati ritenuti esatti al 05/06/2026. Si prega di fare riferimento al sito per le ultime informazioni diponibili.;;;;;;
;;;;;;;
;Codice ISIN;Nome;Asset class;Valuta;Peso;Settore;Paese
;JP3571800006;TOKYO OHKA KOGYO CO LTD;EQUITY;JPY; 0,11%;Materiali;Giappone
;JP3711600001;NIPPON SANSO HOLDINGS CORP;EQUITY;JPY; 0,11%;Materiali;Giappone
;JP3774200004;HANKYU HANSHIN HLDGS INC;EQUITY;JPY; 0,11%;Industrali;Giappone
;JP3951600000;UNICHARM CORP;EQUITY;JPY; 0,11%;Beni di prima necessità;Giappone
;JP3351600006;SHISEIDO CO  Y50;EQUITY;JPY; 0,11%;Beni di prima necessità;Giappone
;JP3756100008;NITORI HOLDINGS CO LTD;EQUITY;JPY; 0,11%;Beni voluttuari;Giappone
;JP3027670003;NIPPON BUILDING FUND INC;EQUITY;JPY; 0,11%;Immobiliare;Giappone
;JP3270000007;KURITA WATER INDUSTRIES LTD;EQUITY;JPY; 0,11%;Industrali;Giappone
;JP3493800001;DAI NIPPON PRINTING CO LTD;EQUITY;JPY; 0,11%;Industrali;Giappone
;JP3218900003;CAPCOM CO LTD Y50;EQUITY;JPY; 0,11%;Servizi di comunicazione;Giappone
;JP3223800008;KAWASAKI KISEN KAI JPY50;EQUITY;JPY; 0,11%;Industrali;Giappone
;JP3160400002;EISAI CO LTD Y50;EQUITY;JPY; 0,11%;Sanità;Giappone
;JP3830000000;BROTHER INDUSTRIES LTD;EQUITY;JPY; 0,10%;Information Technology;Giappone
;JP3769000005;HACHIJUNI BANK  JPY50;EQUITY;JPY; 0,10%;Finanziari;Giappone
;JP3386030005;JFE HOLDINGS INC;EQUITY;JPY; 0,10%;Materiali;Giappone
;JP3670800006;NISSAN CHEMICAL;EQUITY;JPY; 0,10%;Materiali;Giappone
;JP3122800000;AMADA CO LTD;EQUITY;JPY; 0,10%;Industrali;Giappone
;JP3613000003;TOYO SUISAN KAISHA JPY50;EQUITY;JPY; 0,10%;Beni di prima necessità;Giappone
;JP3360800001;HULIC CO LTD;EQUITY;JPY; 0,10%;Immobiliare;Giappone
;JP3955800002;YOKOHAMA RUBBER;EQUITY;JPY; 0,10%;Beni voluttuari;Giappone
;JP3357200009;SHIMADZU CORP  Y50;EQUITY;JPY; 0,10%;Information Technology;Giappone
;JP3343200006;SANRIO CO LTD;EQUITY;JPY; 0,10%;Beni voluttuari;Giappone
;JP3918000005;MEIJI HOLDINGS CO LTD;EQUITY;JPY; 0,10%;Beni di prima necessità;Giappone
;JP3197600004;ONO PHARMACEUTICAL;EQUITY;JPY; 0,10%;Sanità;Giappone
;JP3486800000;DAITO TRUST CONST  JPY50;EQUITY;JPY; 0,10%;Immobiliare;Giappone
;JP3749400002;NIPPON PAINT CO LTD;EQUITY;JPY; 0,09%;Materiali;Giappone
;JP3419400001;SEKISUI CHEMICAL  JPY50;EQUITY;JPY; 0,09%;Industrali;Giappone
;JP3896800004;MITSUBISHI GAS CHEMICAL CO;EQUITY;JPY; 0,09%;Materiali;Giappone
;JP3110650003;ASAHI INTECC CO LTD;EQUITY;JPY; 0,09%;Sanità;Giappone
;JP3771800004;HAMAMATSU PHOTONICS;EQUITY;JPY; 0,09%;Information Technology;Giappone
;JP3401400001;SUMITOMO CHEMICAL  Y50;EQUITY;JPY; 0,09%;Materiali;Giappone
;JP3574200006;TOKYU CORP;EQUITY;JPY; 0,09%;Industrali;Giappone
;JP3595200001;TOSOH CORP;EQUITY;JPY; 0,09%;Materiali;Giappone
;JP3637300009;TREND MICRO INC;EQUITY;JPY; 0,09%;Information Technology;Giappone
;JP3799000009;HIROSE ELECTRIC CO LTD;EQUITY;JPY; 0,09%;Information Technology;Giappone
;JP3027680002;JAPAN REAL ESTATE INVESTMENT;EQUITY;JPY; 0,09%;Immobiliare;Giappone
;JP3414750004;SEIKO EPSON CORP;EQUITY;JPY; 0,09%;Information Technology;Giappone
;JP3585800000;TOKYO ELECTRIC POWER COMPANY;EQUITY;JPY; 0,09%;Beni di pubblica utilità;Giappone
;JP3973400009;RICOH CO LTD;EQUITY;JPY; 0,09%;Information Technology;Giappone
;JP3435350008;SONY FINANCIAL GROUP INC;EQUITY;JPY; 0,09%;Finanziari;Giappone
;JP3039710003;JAPAN METROPOLITAN FUND INVE;EQUITY;JPY; 0,08%;Immobiliare;Giappone
;JP3835250006;BAYCURRENT INC;EQUITY;JPY; 0,08%;Industrali;Giappone
;JP3869010003;MATSUKIYOCOCOKARA & CO;EQUITY;JPY; 0,08%;Beni di prima necessità;Giappone
;JP3672400003;NISSAN MOTOR CO LTD;EQUITY;JPY; 0,08%;Beni voluttuari;Giappone
;JP3569200003;TOKYU FUDOSAN HLDGS CORP;EQUITY;JPY; 0,08%;Immobiliare;Giappone
;JP3758190007;NEXON CO LTD;EQUITY;JPY; 0,08%;Servizi di comunicazione;Giappone
;JP3588600001;TBS HOLDINGS INC;EQUITY;JPY; 0,08%;Servizi di comunicazione;Giappone
;JP3246400000;KYUSHU ELEC POWER  JPY500;EQUITY;JPY; 0,08%;Beni di pubblica utilità;Giappone
;JP3233250004;JAPAN POST INSURANCE CO LTD;EQUITY;JPY; 0,08%;Finanziari;Giappone
;JP3888300005;MITSUI CHEMICALS INC;EQUITY;JPY; 0,08%;Materiali;Giappone
;JP3937200008;AZBIL CORP;EQUITY;JPY; 0,08%;Information Technology;Giappone
;JP3263000006;KINDEN CORP;EQUITY;JPY; 0,08%;Industrali;Giappone
;JP3351100007;SYSMEX CORPORATION;EQUITY;JPY; 0,08%;Sanità;Giappone
;JP3104890003;TIS INC;EQUITY;JPY; 0,08%;Information Technology;Giappone
;JP3429300001;ZENSHO HOLDINGS CO LTD;EQUITY;JPY; 0,08%;Beni voluttuari;Giappone
;JP3931600005;YAKULT HONSHA CO LTD;EQUITY;JPY; 0,08%;Beni di prima necessità;Giappone
;JP3260800002;KINTETSU GROUP HOLDINGS CO LTD;EQUITY;JPY; 0,07%;Industrali;Giappone
;JP3551200003;ELECTRIC POWER DEVELOPEMENT C;EQUITY;JPY; 0,07%;Beni di pubblica utilità;Giappone
;JP3188200004;OTSUKA CORP;EQUITY;JPY; 0,07%;Information Technology;Giappone
;JP3344400001;SANWA HOLDINGS CORPORATION;EQUITY;JPY; 0,07%;Industrali;Giappone
;JP3868400007;MAZDA MOTOR CORP  JPY50;EQUITY;JPY; 0,07%;Beni voluttuari;Giappone
;JP3435750009;M3 INC;EQUITY;JPY; 0,07%;Sanità;Giappone
;JP3409800004;SUMITOMO FORESTRY  Y50;EQUITY;JPY; 0,07%;Beni voluttuari;Giappone
;JP3417200007;SEIBU HOLDINGS INC;EQUITY;JPY; 0,07%;Industrali;Giappone
;JP3944130008;USS CO LTD;EQUITY;JPY; 0,07%;Beni voluttuari;Giappone
;JP3750500005;MCDONALD  S HOLDINGS CO JAPAN;EQUITY;JPY; 0,07%;Beni voluttuari;Giappone
;JP3598600009;TOHO CO LTD/TOKYO;EQUITY;JPY; 0,07%;Servizi di comunicazione;Giappone
;JP3230600003;KANDENKO CO LTD;EQUITY;JPY; 0,07%;Industrali;Giappone
;JP3174410005;OJI HOLDINGS CORP;EQUITY;JPY; 0,07%;Materiali;Giappone
;JP3173540000;OPEN HOUSE GROUP CO LTD;EQUITY;JPY; 0,07%;Beni voluttuari;Giappone
;JP3048110005;NOMURA REAL ESTATE MASTER FU;EQUITY;JPY; 0,07%;Immobiliare;Giappone
;JP3551520004;DENTSU GROUP INC;EQUITY;JPY; 0,07%;Servizi di comunicazione;Giappone
;JP3047510007;GLP J-REIT;EQUITY;JPY; 0,07%;Immobiliare;Giappone
;JP3405400007;SUMITOMO HEAVY INDUSTRIES;EQUITY;JPY; 0,07%;Industrali;Giappone
;JP3768600003;HASEKO CORPORATION;EQUITY;JPY; 0,07%;Beni voluttuari;Giappone
