05-giu-2026;;;;;;;;;;;
iShares Core MSCI EM IMI UCITS ETF;;;;;;;;;;;
Inception Date;30/05/2014;;;;;;;;;;
Fund Holdings as of;05/06/2026;;;;;;;;;;
Number of Securities;3.063,00;;;;;;;;;;
Shares Outstanding;773.413.045,00;;;;;;;;;;
;;;;;;;;;;;
Ticker dell'emittente;Nome;Settore;Asset Class;Valore di mercato;Ponderazione (%);Valore nozionale;Nominale;Prezzo;Area Geografica;Cambio;Valuta di mercato
1303;NAN YA PLASTICS CORP;Materiali;Azionario;47.824.759,28;0,11;47.824.759,28;14.425.000,00;3,32;Taiwan;Taiwan Stock Exchange;TWD
1024;KUAISHOU TECHNOLOGY;Comunicazione;Azionario;47.756.846,40;0,11;47.756.846,40;7.984.800,00;5,98;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
SBIN;STATE BANK OF INDIA;Finanziari;Azionario;47.727.938,93;0,11;47.727.938,93;4.634.460,00;10,30;India;National Stock Exchange Of India;INR
175;GEELY AUTOMOBILE HOLDINGS LTD;Consumi Discrezionali;Azionario;47.509.511,19;0,11;47.509.511,19;20.218.897,00;2,35;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
BEL;BHARAT ELECTRONICS LTD;Industriali;Azionario;47.380.640,23;0,11;47.380.640,23;11.019.452,00;4,30;India;National Stock Exchange Of India;INR
BBDC4;BANCO BRADESCO PREF SA;Finanziari;Azionario;47.251.931,72;0,11;47.251.931,72;13.852.227,00;3,41;Brasile;XBSP;BRL
WALMEX*;WALMART DE MEXICO V;Generi di largo consumo;Azionario;46.719.674,60;0,11;46.719.674,60;15.926.663,00;2,93;Messico;Bolsa Mexicana De Valores;MXN
2269;WUXI BIOLOGICS CAYMAN INC;Salute;Azionario;46.592.669,94;0,11;46.592.669,94;11.149.865,00;4,18;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
9987;YUM CHINA HOLDINGS INC;Consumi Discrezionali;Azionario;46.101.347,39;0,10;46.101.347,39;1.086.634,00;42,43;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
HINDALCO;HINDALCO INDUSTRIES LTD;Materiali;Azionario;46.096.996,70;0,10;46.096.996,70;4.005.378,00;11,51;India;National Stock Exchange Of India;INR
HKD;HKD CASH;Liquidità e/o derivati;Contanti;45.960.062,38;0,10;45.960.062,38;360.090.195,00;12,76;Hong Kong;--;HKD
ICT;INTERNATIONAL CONTAINER TERMINAL S;Industriali;Azionario;45.944.410,74;0,10;45.944.410,74;3.303.430,00;13,91;Filippine;Philippine Stock Exchange Inc.;PHP
CIMB;CIMB GROUP HOLDINGS;Finanziari;Azionario;45.748.427,96;0,10;45.748.427,96;24.935.679,00;1,83;Malesia;Bursa Malaysia;MYR
ETE;NATIONAL BANK OF GREECE SA;Finanziari;Azionario;45.718.062,85;0,10;45.718.062,85;2.686.951,00;17,01;Grecia;Athens Exchange S.A. Cash Market;EUR
2301;LITE ON TECHNOLOGY CORP;IT;Azionario;45.580.345,50;0,10;45.580.345,50;6.246.390,00;7,30;Taiwan;Taiwan Stock Exchange;TWD
034730;SK INC;Industriali;Azionario;44.792.883,57;0,10;44.792.883,57;110.427,00;405,63;Corea;Korea Exchange (Stock Market);KRW
BBCA;BANK CENTRAL ASIA;Finanziari;Azionario;44.551.992,51;0,10;44.551.992,51;158.148.600,00;0,28;Indonesia;Indonesia Stock Exchange;IDR
2408;NANYA TECHNOLOGY CORP;IT;Azionario;44.429.638,80;0,10;44.429.638,80;3.890.000,00;11,42;Taiwan;Taiwan Stock Exchange;TWD
267260;HD HYUNDAI ELECTRIC LTD;Industriali;Azionario;44.416.648,49;0,10;44.416.648,49;71.587,00;620,46;Corea;Korea Exchange (Stock Market);KRW
2883;KGI FINANCIAL HOLDING LTD;Finanziari;Azionario;44.339.505,30;0,10;44.339.505,30;50.636.197,00;0,88;Taiwan;Taiwan Stock Exchange;TWD
1801;INNOVENT BIOLOGICS INC;Salute;Azionario;43.712.208,91;0,10;43.712.208,91;4.471.000,00;9,78;Cina;Hong Kong Exchanges And Clearing Ltd;HKD
